Index,dt,customer_type,trigger_type,n_triggered
15556,10/12/22,1,scheduled,5569
15557,10/12/22,0,scheduled,5678
15558,10/12/22,2,scheduled,1204
15559,10/12/22,3,scheduled,44
15652,11/12/22,1,scheduled,5494
15653,11/12/22,0,scheduled,5341
15654,11/12/22,2,scheduled,1082
15655,11/12/22,3,scheduled,36
15748,12/12/22,1,scheduled,5480
15749,12/12/22,0,scheduled,5680
15750,12/12/22,2,scheduled,1086
15751,12/12/22,3,scheduled,45
15844,13/12/22,1,scheduled,5693
15845,13/12/22,0,scheduled,5952
15846,13/12/22,2,scheduled,1233
15847,13/12/22,3,scheduled,53
15940,14/12/22,1,scheduled,6041
15941,14/12/22,0,scheduled,6205
15942,14/12/22,2,scheduled,1242
15943,14/12/22,3,scheduled,50
16036,15/12/22,1,scheduled,6126
16037,15/12/22,0,scheduled,6163
16038,15/12/22,2,scheduled,1146
16039,15/12/22,3,scheduled,51
16132,16/12/22,1,scheduled,5820
16133,16/12/22,0,scheduled,6252
16134,16/12/22,2,scheduled,1216
16135,16/12/22,3,scheduled,51
16228,17/12/22,1,scheduled,5849
16229,17/12/22,0,scheduled,5678
16230,17/12/22,2,scheduled,1164
16231,17/12/22,3,scheduled,54
16324,18/12/22,1,scheduled,5553
16325,18/12/22,0,scheduled,5431
16326,18/12/22,2,scheduled,1109
16327,18/12/22,3,scheduled,53
16420,19/12/22,1,scheduled,5664
16421,19/12/22,0,scheduled,5597
16422,19/12/22,2,scheduled,1138
16423,19/12/22,3,scheduled,55
16516,20/12/22,1,scheduled,5710
16517,20/12/22,0,scheduled,6016
16518,20/12/22,2,scheduled,1215
16519,20/12/22,3,scheduled,47
16612,21/12/22,1,scheduled,5860
16613,21/12/22,0,scheduled,5850
16614,21/12/22,2,scheduled,1238
16615,21/12/22,3,scheduled,46
16708,22/12/22,1,scheduled,5785
16709,22/12/22,0,scheduled,5632
16710,22/12/22,2,scheduled,1262
16711,22/12/22,3,scheduled,45
16804,23/12/22,1,scheduled,5362
16805,23/12/22,0,scheduled,5891
16806,23/12/22,2,scheduled,1172
16807,23/12/22,3,scheduled,41
16900,24/12/22,1,scheduled,5626
16901,24/12/22,0,scheduled,5716
16902,24/12/22,2,scheduled,1154
16903,24/12/22,3,scheduled,40
16996,25/12/22,1,scheduled,5534
16997,25/12/22,0,scheduled,5166
16998,25/12/22,2,scheduled,1132
16999,25/12/22,3,scheduled,37
17092,26/12/22,1,scheduled,5334
17093,26/12/22,0,scheduled,4976
17094,26/12/22,2,scheduled,1108
17095,26/12/22,3,scheduled,36
17188,27/12/22,1,scheduled,5400
17189,27/12/22,0,scheduled,5433
17190,27/12/22,2,scheduled,1154
17191,27/12/22,3,scheduled,35
17284,28/12/22,1,scheduled,5159
17285,28/12/22,0,scheduled,5304
17286,28/12/22,2,scheduled,1102
17287,28/12/22,3,scheduled,31
17380,29/12/22,1,scheduled,5243
17381,29/12/22,0,scheduled,5378
17382,29/12/22,2,scheduled,1149
17383,29/12/22,3,scheduled,39
17476,30/12/22,1,scheduled,5615
17477,30/12/22,0,scheduled,5597
17478,30/12/22,2,scheduled,1136
17479,30/12/22,3,scheduled,43
17572,31/12/22,1,scheduled,5177
17573,31/12/22,0,scheduled,5504
17574,31/12/22,2,scheduled,1085
17575,31/12/22,3,scheduled,33
17668,01/07/22,1,interference,6529
17670,01/07/22,3,interference,2515
17671,01/07/22,0,interference,8872
17673,01/07/22,2,interference,4736
17860,02/07/22,1,interference,7133
17862,02/07/22,3,interference,2546
17863,02/07/22,0,interference,8580
